StrainID,ShortStrainCode,RRNATaxonomy,StrainIdentifierValue,StrainNameAlt,RCAMCollectionID
"666","IB2015P255-1","","IB2015P255-1","IB2015P255-1","-"
"667","IB2015P255-2","","IB2015P255-2","IB2015P255-2","-"
"668","IB2015P255-1HS","","IB2015P255-1HS","IB2015P255-1HS","-"
"669","IB2015P256-1","","IB2015P256-1","IB2015P256-1","-"
"670","IB2015P256-2","","IB2015P256-2","IB2015P256-2","-"
"671","IB2015P256-1HS","","IB2015P256-1HS","IB2015P256-1HS","-"
"672","IB2015P257-1HS","","IB2015P257-1HS","IB2015P257-1HS","-"
"673","IB2015P260-1","","IB2015P260-1","IB2015P260-1","-"
"674","IB2015P261-1","","IB2015P261-1","IB2015P261-1","-"
"675","IB2015P261-1HS","","IB2015P261-1HS","IB2015P261-1HS","-"
"676","IB2015P261-2HS","","IB2015P261-2HS","IB2015P261-2HS","-"
"677","IB2015P262-2","","IB2015P262-2","IB2015P262-2","-"
"678","IB2015P262-1HS","","IB2015P262-1HS","IB2015P262-1HS","-"
"679","IB2015P262-2HS","","IB2015P262-2HS","IB2015P262-2HS","-"
"680","IB2016P266-1","","IB2016P266-1","IB2016P266-1","-"
"681","IB2016P267-1","","IB2016P267-1","IB2016P267-1","-"
"682","IB2016P269-1","","IB2016P269-1","IB2016P269-1","-"
"683","IB2016P269-2","","IB2016P269-2","IB2016P269-2","-"
"684","IB2016P270-1","","IB2016P270-1","IB2016P270-1","-"
"685","IB2016P270-2","","IB2016P270-2","IB2016P270-2","-"
"686","IB2016P271-1","","IB2016P271-1","IB2016P271-1","-"
"687","IB2016P272-1","","IB2016P272-1","IB2016P272-1","-"
"688","IB2016P273-1","","IB2016P273-1","IB2016P273-1","-"
"689","IB2016P275-1","","IB2016P275-1","IB2016P275-1","-"
"690","IB2016P295-1","","IB2016P295-1","IB2016P295-1","-"
"691","IB2016P296-1","","IB2016P296-1","IB2016P296-1","-"
"692","IB2016P301-1","","IB2016P301-1","IB2016P301-1","-"
"693","IB2016P308-1","","IB2016P308-1","IB2016P308-1","-"
"694","IB2016P308-2","","IB2016P308-2","IB2016P308-2",""
"695","IB2016P315-1","","IB2016P315-1","IB2016P315-1","-"
"696","IB2016P315-2","","IB2016P315-2","IB2016P315-2","-"
"697","IB2016P318-1","","IB2016P318-1","IB2016P318-1","-"
"698","IB2016P328-1","Streptomyces sp.","Streptomyces sp. IB2016P328-1","Streptomyces sp. IB2016P328-1","-"
"699","IB2016P328-2","Streptomyces sp.","Streptomyces sp. IB2016P328-2","Streptomyces sp. IB2016P328-2","-"
"700","IB2016P328-3","Streptomyces sp.","Streptomyces sp. IB2016P328-3","Streptomyces sp. IB2016P328-3","-"
"701","IB2016P328-4","Streptomyces sp.","Streptomyces sp. IB2016P328-4","Streptomyces sp. IB2016P328-4","-"
"702","IB2016P328-5","Streptomyces sp.","Streptomyces sp. IB2016P328-5","Streptomyces sp. IB2016P328-5","-"
"703","IB2016P328-6","Streptomyces sp.","Streptomyces sp. IB2016P328-6","Streptomyces sp. IB2016P328-6","-"
"704","IB2016P328-7","Streptomyces sp.","Streptomyces sp. IB2016P328-7","Streptomyces sp. IB2016P328-7","-"
"705","IB2016P329-1","Streptomyces sp.","Streptomyces sp. IB2016P329-1","Streptomyces sp. IB2016P329-1","-"
"706","IB2016P329-2","Streptomyces sp.","Streptomyces sp. IB2016P329-2","Streptomyces sp. IB2016P329-2","-"
"707","IB2016P330-1","Streptomyces sp.","Streptomyces sp. IB2016P330-1","Streptomyces sp. IB2016P330-1","-"
"708","IB2016P330-2","Streptomyces sp.","Streptomyces sp. IB2016P330-2","Streptomyces sp. IB2016P330-2","-"
"709","IB2016P330-3","Streptomyces sp.","Streptomyces sp. IB2016P330-3","Streptomyces sp. IB2016P330-3","-"
"710","IB2016P331-1","Streptomyces sp.","Streptomyces sp. IB2016P331-1","Streptomyces sp. IB2016P331-1","-"
"711","IB2016P332-1","Streptomyces sp.","Streptomyces sp. IB2016P332-1","Streptomyces sp. IB2016P332-1","-"
"712","IB2016P332-2","Pseudonocardia sp.","Pseudonocardia sp. IB2016P332-2","Pseudonocardia sp. IB2016P332-2","-"
"713","IB2016P333-1","Pseudonocardia sp.","Pseudonocardia sp. IB2016P333-1","Pseudonocardia sp. IB2016P333-1","RCAM04745"
"714","IB2016P333-2","Streptomyces sp.","Streptomyces sp. IB2016P333-2","Streptomyces sp. IB2016P333-2","-"
"715","IB2016P333-3","Streptomyces sp.","Streptomyces sp. IB2016P333-3","Streptomyces sp. IB2016P333-3","-"
