StorageID,BoxIDValue,CellIDValue
"1334","17","F1"
"1335","17","F2"
"1336","17","F3"
"1337","17","F4"
"1338","17","F5"
"1339","17","F6"
"1340","17","F7"
"1341","17","F8"
"1342","17","F9"
"1343","17","G1"
"1344","17","G2"
"1345","17","G3"
"1346","17","G4"
"1347","17","G5"
"1348","17","G6"
"1349","17","G7"
"1350","17","G8"
"1351","17","G9"
"1352","17","H1"
"1353","17","H2"
"1354","17","H3"
"1355","17","H4"
"1356","17","H5"
"1357","17","H6"
"1358","17","H7"
"1359","17","H8"
"1360","17","H9"
"1361","17","I1"
"1362","17","I2"
"1363","17","I3"
"1364","17","I4"
"1365","17","I5"
"1366","17","I6"
"1367","17","I7"
"1368","17","I8"
"1369","17","I9"
"1370","18","A1"
"1371","18","A2"
"1372","18","A3"
"1373","18","A4"
"1374","18","A5"
"1375","18","A6"
"1376","18","A7"
"1377","18","A8"
"1378","18","A9"
"1379","18","B1"
"1380","18","B2"
"1381","18","B3"
"1382","18","B4"
"1383","18","B5"
"1384","18","B6"
"1385","18","B7"
"1386","18","B8"
"1387","18","B9"
"1388","18","C1"
"1389","18","C2"
"1390","18","C3"
"1391","18","C4"
"1392","18","C5"
"1393","18","C6"
"1394","18","C7"
"1395","18","C8"
"1396","18","C9"
"1397","18","D1"
"1398","18","D2"
"1399","18","D3"
"1400","18","D4"
"1401","18","D5"
"1402","18","D6"
"1403","18","D7"
"1404","18","D8"
"1405","18","D9"
"1406","18","E1"
"1407","18","E2"
"1408","18","E3"
"1409","18","E4"
"1410","18","E5"
"1411","18","E6"
"1412","18","E7"
"1413","18","E8"
"1414","18","E9"
"1415","18","F1"
"1416","18","F2"
"1417","18","F3"
"1418","18","F4"
"1419","18","F5"
"1420","18","F6"
"1421","18","F7"
"1422","18","F8"
"1423","18","F9"
"1424","18","G1"
"1425","18","G2"
"1426","18","G3"
"1427","18","G4"
"1428","18","G5"
"1429","18","G6"
"1430","18","G7"
"1431","18","G8"
"1432","18","G9"
"1433","18","H1"
"1434","18","H2"
"1435","18","H3"
"1436","18","H4"
"1437","18","H5"
"1438","18","H6"
"1439","18","H7"
"1440","18","H8"
"1441","18","H9"
"1442","18","I1"
"1443","18","I2"
"1444","18","I3"
"1445","18","I4"
"1446","18","I5"
"1447","18","I6"
"1448","18","I7"
"1449","18","I8"
"1450","18","I9"
"1451","19","A1"
"1452","19","A2"
"1453","19","A3"
"1454","19","A4"
"1455","19","A5"
"1456","19","A6"
"1457","19","A7"
"1458","19","A8"
"1459","19","A9"
"1460","19","B1"
"1461","19","B2"
"1462","19","B3"
"1463","19","B4"
"1464","19","B5"
"1465","19","B6"
"1466","19","B7"
"1467","19","B8"
"1468","19","B9"
"1469","19","C1"
"1470","19","C2"
"1471","19","C3"
"1472","19","C4"
"1473","19","C5"
"1474","19","C6"
"1475","19","C7"
"1476","19","C8"
"1477","19","C9"
"1478","19","D1"
"1479","19","D2"
"1480","19","D3"
"1481","19","D4"
"1482","19","D5"
"1483","19","D6"
"1484","19","D7"
"1485","19","D8"
"1486","19","D9"
"1487","19","E1"
"1488","19","E2"
"1489","19","E3"
